timestamp,chassis.power_fb.power @ 0x200009CC,chassis.power_prediction.total_power_raw @ 0x20000A98,chassis.power_prediction.applied_quadratic_raw @ 0x20000A88,chassis.power_prediction.applied_linear_power @ 0x20000A90
7.659603,90.571045,95.000000,0.774104,60.371525
7.662349,93.736374,94.999992,0.768489,60.360348
7.664946,97.450653,83.029503,0.581083,52.639065
7.668344,87.548111,95.000000,0.763831,60.095161
7.671695,87.222900,95.000000,0.750050,59.975319
7.674364,92.539787,95.000000,0.752793,59.982929
7.677024,92.025963,95.000000,0.758149,59.994057
7.679702,90.540558,95.000000,0.750496,59.947659
7.682334,89.121475,94.999985,0.744188,59.785877
7.684920,89.121475,94.999992,0.744231,59.762146
7.687440,89.121475,95.000008,0.737662,59.793072
7.689991,93.444695,94.999985,0.742761,59.909073
7.693077,93.444695,94.999985,0.736380,59.613094
7.695856,93.444695,95.000000,0.730765,59.532280
7.698426,93.444695,95.000000,0.725895,59.461437
7.701075,93.444695,94.999992,0.723413,59.469261
7.703839,93.444695,95.070816,0.721147,59.431030
7.708398,93.444695,95.018768,0.715266,59.311813
7.710971,93.444695,95.000000,0.717111,59.519344
7.717771,93.444695,94.999992,0.708551,59.249786
7.721735,93.444695,95.000008,0.700778,59.152473
7.724251,93.444695,95.000000,0.697702,59.095524
7.726820,93.444695,95.000008,0.691961,59.013729
7.729421,93.444695,94.999992,0.693191,58.996105
7.731979,93.444695,95.000000,0.689813,58.920002
7.735451,93.444695,94.999985,0.698053,59.138344
7.738341,93.444695,95.000000,0.697725,59.093800
7.741647,92.918625,95.000000,0.690096,58.953171
7.744222,92.918625,94.999985,0.679197,53.087074
7.751234,96.812851,89.127281,0.607304,55.517033
7.754516,91.334702,94.999985,0.677989,58.524082
7.759474,92.394341,95.000000,0.676094,58.598297
7.762515,96.533028,89.983597,0.598720,55.131149
7.766448,93.117065,94.999985,0.671237,58.395466
7.771530,92.508064,95.000015,0.668687,58.438774
7.774119,94.138954,94.999985,0.677055,58.685474
7.778747,90.731308,94.999992,0.674067,58.418034
7.781358,93.002342,94.999992,0.661433,58.238232
7.786008,93.002342,95.000000,0.654524,58.148144
7.788653,93.002342,95.000000,0.651105,58.082718
7.793125,93.002342,95.114441,0.652795,57.962769
7.795662,93.002342,94.999992,0.654300,58.087849
7.799091,93.002342,94.999985,0.652653,58.078785
7.801638,93.002342,94.999985,0.649652,57.932724
7.805726,93.002342,94.999992,0.641365,57.793690
7.808580,93.002342,94.999985,0.651451,57.985565
7.811841,93.002342,95.000000,0.654275,58.059467
7.814530,93.002342,95.000000,0.642197,57.784267
